Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
127.0.0.1-127.0.0.1-40599-8080-6,127.0.0.1,40599,127.0.0.1,8080,6,19/09/2025 08:29:52 PM,22,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,136363.63636363635,11.0,9.899494936611665,18.0,4.0,22.0,11.0,9.899494936611665,18.0,4.0,0,0,0,0,0,0,0,0,0,64,0,136363.63636363635,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1480,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
127.0.0.1-127.0.0.1-40599-8080-6,127.0.0.1,40599,127.0.0.1,8080,6,19/09/2025 08:29:52 PM,49,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,61224.48979591837,24.5,17.67766952966369,37.0,12.0,49.0,24.5,17.67766952966369,37.0,12.0,0,0,0,0,0,0,0,0,0,64,0,61224.48979591837,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1480,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
127.0.0.1-127.0.0.1-40599-8080-6,127.0.0.1,40599,127.0.0.1,8080,6,19/09/2025 08:29:52 PM,50,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,60000.0,25.0,18.384776310850235,38.0,12.0,50.0,25.0,18.384776310850235,38.0,12.0,0,0,0,0,0,0,0,0,0,64,0,60000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1480,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
127.0.0.1-127.0.0.1-40599-8080-6,127.0.0.1,40599,127.0.0.1,8080,6,19/09/2025 08:29:52 PM,29,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,103448.27586206897,14.5,10.606601717798213,22.0,7.0,29.0,14.5,10.606601717798213,22.0,7.0,0,0,0,0,0,0,0,0,0,64,0,103448.27586206897,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1480,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
127.0.0.1-127.0.0.1-40599-8080-6,127.0.0.1,40599,127.0.0.1,8080,6,19/09/2025 08:29:52 PM,50,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,60000.0,25.0,18.384776310850235,38.0,12.0,50.0,25.0,18.384776310850235,38.0,12.0,0,0,0,0,0,0,0,0,0,64,0,60000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1480,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
127.0.0.1-127.0.0.1-40599-8080-6,127.0.0.1,40599,127.0.0.1,8080,6,19/09/2025 08:29:52 PM,56,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,53571.42857142857,28.0,21.213203435596427,43.0,13.0,56.0,28.0,21.213203435596427,43.0,13.0,0,0,0,0,0,0,0,0,0,64,0,53571.42857142857,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1480,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
127.0.0.1-127.0.0.1-40599-8080-6,127.0.0.1,40599,127.0.0.1,8080,6,19/09/2025 08:29:52 PM,49,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,61224.48979591837,24.5,19.091883092036785,38.0,11.0,49.0,24.5,19.091883092036785,38.0,11.0,0,0,0,0,0,0,0,0,0,64,0,61224.48979591837,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1480,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
127.0.0.1-127.0.0.1-40599-8080-6,127.0.0.1,40599,127.0.0.1,8080,6,19/09/2025 08:29:53 PM,86,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,34883.72093023256,43.0,31.11269837220809,65.0,21.0,86.0,43.0,31.11269837220809,65.0,21.0,0,0,0,0,0,0,0,0,0,64,0,34883.72093023256,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1480,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
127.0.0.1-127.0.0.1-40599-8080-6,127.0.0.1,40599,127.0.0.1,8080,6,19/09/2025 08:29:53 PM,50,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,60000.0,25.0,18.384776310850235,38.0,12.0,50.0,25.0,18.384776310850235,38.0,12.0,0,0,0,0,0,0,0,0,0,64,0,60000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1480,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
127.0.0.1-127.0.0.1-40599-8080-6,127.0.0.1,40599,127.0.0.1,8080,6,19/09/2025 08:29:53 PM,55,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,54545.454545454544,27.5,20.506096654409877,42.0,13.0,55.0,27.5,20.506096654409877,42.0,13.0,0,0,0,0,0,0,0,0,0,64,0,54545.454545454544,0.0,0.0,0.0,0.0,0.0,0.0,0,2,1,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1480,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
